id,title,brand,season,gender,color,category,detail,hashtag,image,url,style,temperature
650,Val Dress,느와,2020  F/W,['여'],네이비,원피스,미니 원피스,"['#미니원피스', '#베이비돌', '#원피스', '#체크원피스']",https://image.msscdn.net/images/goods_img/20200817/1551609/1551609_1_500.jpg,https://store.musinsa.com/app/product/detail/1551609/0,캐주얼,20.0
651,Ciel Dress,느와,2020  F/W,['여'],검정색,원피스,미니 원피스,"['#미니원피스', '#원피스']",https://image.msscdn.net/images/goods_img/20200817/1551608/1551608_1_500.jpg,https://store.musinsa.com/app/product/detail/1551608/0,캐주얼,20.0
652,블랙 백 크로스 피나포어 원피스 (120871CY25),에잇세컨즈,2020  S/S,['여'],검정색,원피스,맥시 원피스,"['#원피스긴팔', '#120871CY25']",https://image.msscdn.net/images/goods_img/20200811/1544876/1544876_1_500.jpg,https://store.musinsa.com/app/product/detail/1544876/0,포멀,20.0
653,NOS FLOWER PATTERN LONG OPS IVORY,리올그,2020  F/W,['여'],아이보리,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1539146/1539146_1_500.jpg,https://store.musinsa.com/app/product/detail/1539146/0,포멀,20.0
654,BCG ONEPIECE CESBGTS07BL,본챔스,2019  S/S,['여'],파란색,원피스,미니 원피스,"['#데일리룩', '#원피스', '#여자반팔', '#카라', '#미니원피스', '#반팔원피스', '#슬림핏']",https://image.msscdn.net/images/goods_img/20190319/987352/987352_1_500.jpg,https://store.musinsa.com/app/product/detail/987352/0,캐주얼,20.0
655,NOVA DEEP U-NECK BODYSUIT  IN WHITE,배드블러드,2020  S/S,['여'],흰색,원피스,점프 슈트,"['#바디수트', '#BODYSUIT']",https://image.msscdn.net/images/goods_img/20200811/1544380/1544380_1_500.jpg,https://store.musinsa.com/app/product/detail/1544380/0,캐주얼,17.0
656,COOL COTTON COREAN SLEEVE MAXI LONG DRESS,로우 투 로우,2020  S/S,['여'],다크 그린,원피스,맥시 원피스,"['#롱원피스', '#맥시원피스', '#오버핏원피스', '#홈웨어']",https://image.msscdn.net/images/goods_img/20200811/1545545/1545545_1_500.jpg,https://store.musinsa.com/app/product/detail/1545545/0,포멀,20.0
657,블랙 플로럴 셔링 브이넥 미니 원피스 (320871LY35),에잇세컨즈,2020  S/S,['여'],검정색,원피스,미니 원피스,"['#원피스긴팔', '#320871LY35']",https://image.msscdn.net/images/goods_img/20200804/1537004/1537004_1_500.jpg,https://store.musinsa.com/app/product/detail/1537004/0,포멀,20.0
658,Twenty Dress,느와,2020  F/W,['여'],녹색,원피스,미니 원피스,"['#미니원피스', '#원피스', '#체크원피스']",https://image.msscdn.net/images/goods_img/20200817/1551604/1551604_1_500.jpg,https://store.musinsa.com/app/product/detail/1551604/0,캐주얼,20.0
659,Other Dress,느와,2020  F/W,['여'],검정색,원피스,미니 원피스,"['#미니원피스', '#원피스', '#체크원피스']",https://image.msscdn.net/images/goods_img/20200817/1551606/1551606_1_500.jpg,https://store.musinsa.com/app/product/detail/1551606/0,캐주얼,20.0
660,NOS FLOWER PATTERN LONG OPS BLACK,리올그,2020  F/W,['여'],검정색,원피스,맥시 원피스,"['#롱원피스', '#원피스', '#패턴원피스']",https://image.msscdn.net/images/goods_img/20200806/1539145/1539145_1_500.jpg,https://store.musinsa.com/app/product/detail/1539145/0,포멀,20.0
661,NOS ONE-BUTTON POCKETLESS MERMAID OPS BLACK,리올그,2020  F/W,['여'],검정색,원피스,맥시 원피스,"['#롱원피스', '#맥시원피스', '#원피스']",https://image.msscdn.net/images/goods_img/20200806/1539156/1539156_1_500.jpg,https://store.musinsa.com/app/product/detail/1539156/0,포멀,20.0
662,DIVIDEDNESS JUMPER SKIRT CHECK BROWN,리올그,2020  F/W,['여'],체크,원피스,미디 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1539165/1539165_1_500.jpg,https://store.musinsa.com/app/product/detail/1539165/0,포멀,20.0
663,NOVA DEEP U-NECK BODYSUIT  IN CHOCOLATE,배드블러드,2020  S/S,['여'],갈색,원피스,점프 슈트,['#바디수트'],https://image.msscdn.net/images/goods_img/20200811/1544370/1544370_1_500.jpg,https://store.musinsa.com/app/product/detail/1544370/0,캐주얼,17.0
664,카치온 점프슈트,유라고,2019  S/S,['여'],분홍색,원피스,점프 슈트,[],https://image.msscdn.net/images/goods_img/20190425/1027656/1027656_3_500.jpg,https://store.musinsa.com/app/product/detail/1027656/0,캐주얼,17.0
665,Objet Dress,느와,2020  F/W,['여'],베이지색,원피스,미니 원피스,"['#미니원피스', '#원피스', '#체크원피스']",https://image.msscdn.net/images/goods_img/20200817/1551607/1551607_1_500.jpg,https://store.musinsa.com/app/product/detail/1551607/0,캐주얼,20.0
666,VOLUME DRESS_BEIGE,언노말,2020  F/W,['여'],샌드,원피스,미디 원피스,"['#롱원피스', '#면원피스', '#셔츠원피스', '#원피스', '#정장원피스', '#퍼프원피스', '#하객룩']",https://image.msscdn.net/images/goods_img/20200819/1555981/1555981_1_500.jpg,https://store.musinsa.com/app/product/detail/1555981/0,포멀,20.0
667,CREW NECK T-SHIRT DRESS [DARK GREY],무신사 스탠다드,2020  S/S,['여'],다크 그레이,원피스,미디 원피스,"['#기본티', '#라운드넥', '#무신사스탠다드우먼즈', '#무지티', '#여름티', '#MU-T']",https://image.msscdn.net/images/goods_img/20200423/1417728/1417728_2_500.jpg,https://store.musinsa.com/app/product/detail/1417728/0,포멀,20.0
668,COOL COTTON COREAN SLEEVE MAXI LONG DRESS,로우 투 로우,2020  S/S,['여'],검정색,원피스,맥시 원피스,"['#롱드레스', '#맥시드레스', '#맥시원피스', '#오버핏원피스', '#홈웨어']",https://image.msscdn.net/images/goods_img/20200811/1545548/1545548_1_500.jpg,https://store.musinsa.com/app/product/detail/1545548/0,포멀,20.0
669,CRISPY COTTON POCKET DRESS,로우 투 로우,2020  S/S,['여'],스카이 블루,원피스,미디 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1545538/1545538_1_500.jpg,https://store.musinsa.com/app/product/detail/1545538/0,포멀,20.0
670,CRISPY COTTON POCKET DRESS,로우 투 로우,2020  S/S,['여'],샌드,원피스,미디 원피스,"['#롱원피스', '#루즈핏원피스', '#바캉스룩', '#여름원피스']",https://image.msscdn.net/images/goods_img/20200811/1545533/1545533_1_500.jpg,https://store.musinsa.com/app/product/detail/1545533/0,포멀,20.0
671,여 J214043 1AA 라이트 블루 라이트 블루 벨티드 데님 드레스,캘빈클라인 진,2020  F/W,['여'],연청,원피스,미디 원피스,[],https://image.msscdn.net/images/goods_img/20200819/1555513/1555513_1_500.jpg,https://store.musinsa.com/app/product/detail/1555513/0,ALL,20.0
672,둥근카라 반오픈 원피스 WHOWA4933F,후아유,2020  F/W,['여'],기타,원피스,미디 원피스,"['#반오픈', '#원피스', '#체크']",https://image.msscdn.net/images/goods_img/20200814/1550413/1550413_1_500.jpg,https://store.musinsa.com/app/product/detail/1550413/0,캐주얼,20.0
