id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
31,ESM28111 포카시리즈 no.9 (버닝브라운) - [burning brown] 7번버닝,라비지오네,2020  ALL,['남'],갈색,신발,로퍼,"['#수제화', '#구두', '#캐주얼', '#신발', '#페니로퍼', '#남성화']",https://image.msscdn.net/images/goods_img/20200821/1559002/1559002_1_500.jpg,https://store.musinsa.com/app/product/detail/1559002/0,20,ALL
32,ESM28111 포카시리즈 no.8 (옐로우브라운) - [yellow brown] 3번버닝,라비지오네,2020  ALL,['남'],갈색,신발,로퍼,"['#수제화', '#구두', '#캐주얼', '#로퍼', '#신발', '#남성화']",https://image.msscdn.net/images/goods_img/20200821/1558986/1558986_1_500.jpg,https://store.musinsa.com/app/product/detail/1558986/0,20,ALL
33,ESM28111 포카시리즈 no.7 (블랙) - [black] 흑소프트,라비지오네,2020  ALL,['남'],검정색,신발,로퍼,"['#수제화', '#구두', '#캐주얼', '#신발', '#남성화', '#페니로퍼']",https://image.msscdn.net/images/goods_img/20200821/1558976/1558976_1_500.jpg,https://store.musinsa.com/app/product/detail/1558976/0,20,ALL
34,ESM28111 포카시리즈 no.6 (화이트) - [white] 백소프트,라비지오네,2020  ALL,['남'],흰색,신발,로퍼,"['#수제화', '#로퍼', '#신발', '#구두', '#캐주얼']",https://image.msscdn.net/images/goods_img/20200821/1558974/1558974_1_500.jpg,https://store.musinsa.com/app/product/detail/1558974/0,20,ALL
35,ESM28111 포카시리즈 no.5 (그레이) - [gray] 9회색,라비지오네,2020  ALL,['남'],회색,신발,로퍼,"['#수제화', '#로퍼', '#구두', '#남성화', '#신발', '#캐주얼']",https://image.msscdn.net/images/goods_img/20200821/1558970/1558970_1_500.jpg,https://store.musinsa.com/app/product/detail/1558970/0,20,ALL
36,ESM28111 포카시리즈 no.4 (네이비) - [navy] 7곤색,라비지오네,2020  ALL,['남'],네이비,신발,로퍼,"['#수제화', '#구두', '#로퍼', '#캐주얼', '#신발']",https://image.msscdn.net/images/goods_img/20200821/1558959/1558959_1_500.jpg,https://store.musinsa.com/app/product/detail/1558959/0,20,ALL
37,ESM28111 포카시리즈 no.1 (라이트 브라운) - [light brown]_2번버닝,라비지오네,2020  ALL,['남'],갈색,신발,로퍼,"['#수제화', '#로퍼', '#구두', '#캐주얼', '#페니로퍼', '#남성화', '#신발']",https://image.msscdn.net/images/goods_img/20200821/1558755/1558755_1_500.jpg,https://store.musinsa.com/app/product/detail/1558755/0,20,ALL
38,(비브람솔) 히든밴딩 디테일 코만도솔 싱글몽크 2030 [BROWN ADVAN],피렌체 아뜨리에,2020  ALL,['남'],갈색,신발,로퍼,"['#비브람', '#비브람로퍼', '#비브람구두', '#싱글몽크']",https://image.msscdn.net/images/goods_img/20200821/1558692/1558692_1_500.jpg,https://store.musinsa.com/app/product/detail/1558692/0,20,포멀
39,(비브람솔) 히든밴딩 디테일 코만도솔 싱글몽크 2030 [BLACK BOX],피렌체 아뜨리에,2020  ALL,['남'],검정색,신발,로퍼,"['#비브람', '#비브람로퍼', '#비브람구두', '#싱글몽크', '#싱글몽크스트랩']",https://image.msscdn.net/images/goods_img/20200821/1558672/1558672_1_500.jpg,https://store.musinsa.com/app/product/detail/1558672/0,20,포멀
40,아리조나 에바 블랙 129421,버켄스탁,ALL,"['남,여,아동']",기타,신발,슬리퍼,"['#버켄스탁샌들', '#블랙', '#스트랩샌들', '#스트랩슬리퍼', '#슬라이드', '#EVA', '#EVA샌들']",https://image.msscdn.net/images/goods_img/20160322/324275/324275_2_500.jpg,https://store.musinsa.com/app/product/detail/324275/0,23,캐주얼
41,[BA8775] ALPHABOUNCE SLIDE,아디다스,ALL,"['남,여']",검정색,신발,슬리퍼,"['#로고슬라이드', '#블랙', '#슬라이드', '#알파바운스']",https://image.msscdn.net/images/goods_img/20170313/497858/497858_6_500.jpg,https://store.musinsa.com/app/product/detail/497858/0,23,캐주얼
42,MO Flipflop  blk,모 스포츠,ALL,"['남,여']",검정색,신발,슬리퍼,['#블랙'],https://image.msscdn.net/images/goods_img/20170623/581861/581861_1_500.jpg,https://store.musinsa.com/app/product/detail/581861/0,23,캐주얼
43,ALPHABOUNCE SLIDE CBLACK/CBLACK/FTWWHT,아디다스,2020  S/S,"['남,여']",흰색 검정색,신발,슬리퍼,"['#로고슬라이드', '#블랙', '#슬라이드', '#아디다스슬라이드', '#알파바운스', '#알파슬라이드', '#알파슬리퍼']",https://image.msscdn.net/images/goods_img/20200306/1339622/1339622_1_500.jpg,https://store.musinsa.com/app/product/detail/1339622/0,23,캐주얼
44,WTRD4104  Austin Strap Sandal Matte black [250~290MM],위더로드,2020  S/S,['남'],검정색,신발,샌들,"['#가죽', '#가죽샌들', '#가죽스트랩', '#남자샌들', '#래더', '#래더샌들', '#래더스트랩']",https://image.msscdn.net/images/goods_img/20190502/1032775/1032775_7_500.jpg,https://store.musinsa.com/app/product/detail/1032775/0,23,포멀
45,Hurricane XLT2 / 1019234-BLK,테바,2019  S/S,['남'],검정색,신발,샌들,"['#밸크로', '#밸크로샌들', '#벨크로', '#샌들', '#슬리퍼', '#허리케인', '#허리케인XLT2']",https://image.msscdn.net/images/goods_img/20180531/791575/791575_2_500.jpg,https://store.musinsa.com/app/product/detail/791575/0,23,캐주얼
