id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
788,베이직 데님 스커트 (2colors) CVWHA2305B,클라비스,2020  S/S,['여'],데님,스커트,미니스커트,"['#데님', '#베이직데님스커트']",https://image.msscdn.net/images/goods_img/20200226/1324708/1324708_1_500.jpg,https://store.musinsa.com/app/product/detail/1324708/0,23.0,ALL
789,TWO TUCK BANDING SKIRT (NAVY),러스티치,2020  S/S,['여'],네이비,스커트,롱스커트,"['#미디스커트', '#스커트']",https://image.msscdn.net/images/goods_img/20200708/1509553/1509553_1_500.jpg,https://store.musinsa.com/app/product/detail/1509553/0,20.0,캐주얼
790,[NF] FANCY ARGYLE MINI SKIRT (BLK) (19FW-F703),네스티팬시클럽,2019  F/W,['여'],검정색,스커트,미니스커트,[],https://image.msscdn.net/images/goods_img/20190930/1170780/1170780_1_500.jpg,https://store.musinsa.com/app/product/detail/1170780/0,23.0,캐주얼
791,[_AR컬렉션] 라이크라데님 A라인 스커트_블랙_(LJPSK-06BLK),안다르,2020  S/S,['여'],검정색,스커트,미디스커트,"['#데님스커트', '#롱스커트', '#스커트', '#요가복', '#치마', '#A라인']",https://image.msscdn.net/images/goods_img/20200407/1389053/1389053_1_500.jpg,https://store.musinsa.com/app/product/detail/1389053/0,20.0,ALL
792,(W) URIJU SKIRT - SKYBLUE,메리제임스,2020  S/S,['여'],스카이 블루,스커트,미니스커트,"['#니트', '#밴딩스커트', '#셋업', '#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20200514/1447415/1447415_1_500.jpg,https://store.musinsa.com/app/product/detail/1447415/0,23.0,캐주얼
793,[Skirt Fit ] Essential Denim Skirt_light indigo,헤인트,2020  S/S,['여'],연청,스커트,미니스커트,"['#데님', '#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20200616/1485892/1485892_1_500.jpg,https://store.musinsa.com/app/product/detail/1485892/0,23.0,ALL
794,FIF BACK SLIT SKIRT CHECK,리올그,2019  F/W,['여'],체크,스커트,미디스커트,[],https://image.msscdn.net/images/goods_img/20190822/1125915/1125915_2_500.jpg,https://store.musinsa.com/app/product/detail/1125915/0,20.0,ALL
795,TAPING POINT SKIRT_navy,5252 바이 오아이오아이,2020  S/S,['여'],네이비,스커트,미니스커트,['#코튼스커트'],https://image.msscdn.net/images/goods_img/20200310/1342329/1342329_1_500.jpg,https://store.musinsa.com/app/product/detail/1342329/0,23.0,캐주얼
796,C STRIPE BOX PLEATED SKIRT_NAVY,큐리티,2020  S/S,['여'],기타,스커트,미니스커트,[],https://image.msscdn.net/images/goods_img/20200324/1365479/1365479_1_500.jpg,https://store.musinsa.com/app/product/detail/1365479/0,23.0,캐주얼
797,Flower H-line mini skirt_NV,오드원아웃,2020  S/S,['여'],네이비,스커트,미니스커트,"['#스커트', '#치마', '#크롭']",https://image.msscdn.net/images/goods_img/20200304/1334617/1334617_1_500.jpg,https://store.musinsa.com/app/product/detail/1334617/0,23.0,캐주얼
